Nr.,Name,Wert,Fähigkeit,Spruch auf der Karte,Anzahl der Karten,Farbe Karte 1,Farbe Karte 2,Farbe Karte 3,Farbe Karte 4
1,Olli,1,No Ability,"Eier, we need Eier",4,Grün,Violett,Blau,Orange
2,Tupac,2,No Ability,"Chill, Alter, es kommen auch gute Zeiten.",4,Grün,Violett,Blau,Orange
3,Arnold Schwarzenegger,3,No Ability,I choose  four,4,Grün,Violett,Blau,Orange
4,Eric Cartman,4,No Ability,Respect My Authority!,4,Grün,Violett,Blau,Orange
5,Zinedine Zidane,5,No Ability,Ciao bella ciao!,4,Grün,Violett,Blau,Orange
6,Bruce Lee,6,No Ability,Bee water my friend,4,Grün,Violett,Blau,Orange
7,Ronaldo,7,See own card,SUUUI ..your own card!!!,4,Grün,Violett,Blau,Orange
8,Leonardo DiCaprio ,8,See own card,check this out,4,Grün,Violett,Blau,Orange
9,Snowden,9,See others card,They see everything..,4,Grün,Violett,Blau,Orange
10,Trump,10,See others card,Lets fuck up,4,Grün,Violett,Blau,Orange
11,Joker,11,Choose two cards and swap,Let’s do some confusion.,4,Grün,Violett,Blau,Orange
12,Hund,12,"Choose two cards, see them and swap",To the moon!,4,Grün,Violett,Blau,Orange
13,Mr Hankey,13,No Ability,shit happens.,2,Rot,Rot,–,–
14,Thierry Henry,0,No Ability,"Congratulations, you got me.",1,Silber,–,–,–
15,Katze,-1,No Ability,You lucky bastard.,1,Gold,–,–,–
